generation,best,worst,bestEver,temperature
439,13414.8,15512.1,13103,166.956
440,13221.2,16749.1,13103,166.121
441,13238.5,16228.6,13103,165.29
442,13238.5,16177.2,13103,164.464
443,13238.5,14697.9,13103,163.642
444,13238.5,17105.3,13103,162.823
445,13372,16934.7,13103,162.009
446,13372,16497,13103,161.199
447,13372,17171.4,13103,160.393
448,13372,14580.8,13103,159.591
449,13267.9,16649.8,13103,158.793
450,13267.9,16925.6,13103,157.999
451,13267.9,16610.1,13103,157.209
452,13254.5,16587.6,13103,156.423
453,13254.5,15258.5,13103,155.641
454,13254.5,14799.5,13103,154.863
455,13254.5,16336.7,13103,154.089
456,13254.5,14576.9,13103,153.318
457,13291.8,17005.4,13103,152.552
458,13291.8,15497.4,13103,151.789
459,13291.8,17587.5,13103,151.03
460,13291.8,15569.7,13103,150.275
461,13291.8,15295.8,13103,149.524
462,13291.8,17099.4,13103,148.776
463,13291.8,14199.3,13103,148.032
464,13291.8,16898.3,13103,147.292
465,13291.8,17457.9,13103,146.555
466,13421.5,16650.3,13103,145.823
467,13400.1,15444,13103,145.094
468,13400.1,17617.7,13103,144.368
469,13400.1,16411.8,13103,143.646
470,13400.1,15889.5,13103,142.928
471,13792.7,15839.3,13103,142.213
472,13792.7,16027.4,13103,141.502
473,13960.2,16784.1,13103,140.795
474,13960.2,17033.5,13103,140.091
475,13960.2,17312.2,13103,139.39
476,13704.2,14692.7,13103,138.693
477,13602.4,16311.2,13103,138
478,13602.4,16477.6,13103,137.31
479,13602.4,15532.1,13103,136.623
480,13603.9,17951,13103,135.94
481,13721.8,16160.5,13103,135.261
482,13721.8,16271.6,13103,134.584
483,13795.7,17553.3,13103,133.911
484,13795.7,15473.8,13103,133.242
485,13793.1,18029.6,13103,132.576
486,13736.9,16270.2,13103,131.913
487,13792.2,16002.9,13103,131.253
488,13879.4,17460.1,13103,130.597
489,13291.1,16732.4,13103,129.944
490,13291.1,15498.2,13103,129.294
491,13258.2,16326.6,13103,128.648
492,13258.2,16343.4,13103,128.004
493,13097.4,13822.5,13097.4,127.364
494,13097.4,15719.3,13097.4,126.728
495,13226,16722.8,13097.4,126.094
496,13386,15513.2,13097.4,125.463
497,13386,15716.6,13097.4,124.836
498,13386,14763.9,13097.4,124.212
499,13386,15652.1,13097.4,123.591
500,13386,17469.7,13097.4,122.973
501,13235.8,16412,13097.4,122.358
502,13235.8,16925.3,13097.4,121.746
503,13235.8,15273,13097.4,121.138
504,13235.8,15901.7,13097.4,120.532
505,13235.8,16056,13097.4,119.929
506,13235.8,16202.2,13097.4,119.33
507,13152.6,14914.1,13097.4,118.733
508,13152.6,14346.8,13097.4,118.139
509,13106.7,16486.2,13097.4,117.549
510,13106.7,15747,13097.4,116.961
511,13106.7,14668.1,13097.4,116.376
512,13068.1,15422.5,13068.1,115.794
513,13068.1,16412.9,13068.1,115.215
514,13068.1,16035.9,13068.1,114.639
515,12753,13741.6,12753,114.066
516,12753,14150.5,12753,113.496
517,12701,15601,12701,112.928
518,12599.7,15129,12599.7,112.363
519,12599.7,16767.1,12599.7,111.802
520,12763.5,14243.5,12599.7,111.243
521,12798.7,15216.8,12599.7,110.686
522,12798.7,14912.2,12599.7,110.133
523,12798.7,13694.3,12599.7,109.582
524,12798.7,15424.6,12599.7,109.034
525,12798.7,17699.6,12599.7,108.489
526,12798.7,16253.2,12599.7,107.947
527,12559,14503.3,12559,107.407
528,12559,16162.3,12559,106.87
529,12444,15526.8,12444,106.336
530,12455.2,14640.7,12444,105.804
531,12464.3,15141.8,12444,105.275
532,12464.3,14224.5,12444,104.749
533,12464.3,15808.1,12444,104.225
534,12501,14982.2,12444,103.704
535,12582.9,17878.9,12444,103.185
536,12582.9,17073.7,12444,102.669
537,12582.9,14881.7,12444,102.156
538,12582.9,16260.7,12444,101.645
539,12465,13673.1,12444,101.137
540,12308.8,14991.1,12308.8,100.631
541,12253.9,15921.2,12253.9,100.128
542,12352.2,14221.4,12253.9,99.6275
543,12340.4,15233.5,12253.9,99.1294
544,12340.4,15277.2,12253.9,98.6337
545,12340.4,13941.7,12253.9,98.1405
546,12182.2,15637.2,12182.2,97.6498
547,12030.5,15501.2,12030.5,97.1616
548,12030.5,14827.9,12030.5,96.6758
549,11973.9,15485,11973.9,96.1924
550,11973.9,13482.4,11973.9,95.7114
551,11926.1,15190.2,11926.1,95.2329
552,11926.1,13641.3,11926.1,94.7567
553,11926.1,14746.2,11926.1,94.2829
554,11914.7,15473.7,11914.7,93.8115
555,11914.7,13324.7,11914.7,93.3425
556,11928.9,14463,11914.7,92.8758
557,11933.8,16375.8,11914.7,92.4114
558,11899.3,14888.1,11899.3,91.9493
559,11914.2,14906.7,11899.3,91.4896
560,11938.9,14709.7,11899.3,91.0321
561,11938.9,15907,11899.3,90.577
562,11785.2,14219.6,11785.2,90.1241
563,11700.9,14213.3,11700.9,89.6735
564,11700.9,14163.7,11700.9,89.2251
565,11759.9,14247.2,11700.9,88.779
566,11759.9,13319,11700.9,88.3351
567,11783.8,15366.7,11700.9,87.8934
568,11796.9,13772.2,11700.9,87.4539
569,11796.9,14333.1,11700.9,87.0167
570,11796.9,13955.6,11700.9,86.5816
571,11796.9,13411.9,11700.9,86.1487
572,11796.9,15145.1,11700.9,85.7179
573,11796.9,15251.4,11700.9,85.2893
574,11796.9,14911.1,11700.9,84.8629
575,11721.9,13659,11700.9,84.4386
576,11721.9,15883.4,11700.9,84.0164
577,11721.9,14782.8,11700.9,83.5963
578,11721.9,14590.3,11700.9,83.1783
579,11721.9,15239.6,11700.9,82.7624
580,11715.6,15677.8,11700.9,82.3486
581,11715.6,12957.2,11700.9,81.9369
582,11447.3,14198.3,11447.3,81.5272
583,11447.3,14267.5,11447.3,81.1196
584,11447.3,14757.8,11447.3,80.714
585,11447.3,14386.4,11447.3,80.3104
586,11453.6,13790.5,11447.3,79.9088
587,11453.6,14554.1,11447.3,79.5093
588,11453.6,14887.9,11447.3,79.1117
589,11453.6,13244.6,11447.3,78.7162
590,11426.8,12730.5,11426.8,78.3226
591,11426.8,13696.7,11426.8,77.931
592,11426.8,14979.3,11426.8,77.5413
593,11426.8,13837.8,11426.8,77.1536
594,11352.8,12562.7,11352.8,76.7679
595,11352.8,13833.1,11352.8,76.384
596,11352.8,14842,11352.8,76.0021
597,11352.8,13588.9,11352.8,75.6221
598,11411.7,14020.2,11352.8,75.244
599,11411.7,16394.5,11352.8,74.8678
600,11332.6,14350,11332.6,74.4934
601,11332.6,13867.1,11332.6,74.121
602,11318.9,15051.8,11318.9,73.7504
603,11318.9,13641.7,11318.9,73.3816
604,11318.9,15024.1,11318.9,73.0147
605,11318.9,14886,11318.9,72.6496
606,11318.9,14294.1,11318.9,72.2864
607,11358.8,13820.9,11318.9,71.9249
608,11358.8,14743.4,11318.9,71.5653
609,11358.8,12206.1,11318.9,71.2075
610,11358.8,14103.7,11318.9,70.8515
611,11358.8,14516,11318.9,70.4972
612,11358.8,14291,11318.9,70.1447
613,11358.8,15841.2,11318.9,69.794
614,11358.8,13726.2,11318.9,69.445
615,11358.8,15714.9,11318.9,69.0978
616,11358.8,12833,11318.9,68.7523
617,11358.8,13695.6,11318.9,68.4086
618,11358.8,15807.6,11318.9,68.0665
619,11358.8,15109.9,11318.9,67.7262
620,11193.7,12358.7,11193.7,67.3876
621,11193.7,12862.1,11193.7,67.0506
622,11193.7,12249.6,11193.7,66.7154
623,11193.7,15601.1,11193.7,66.3818
624,10923.3,12917.7,10923.3,66.0499
625,10923.3,13803,10923.3,65.7196
626,10955.5,12796.9,10923.3,65.391
627,11082.5,13486.5,10923.3,65.0641
628,11082.5,14624.1,10923.3,64.7388
629,11082.5,16696.7,10923.3,64.4151
630,11082.5,14740.9,10923.3,64.093
631,11066.8,14096.1,10923.3,63.7725
632,11098.3,13761.5,10923.3,63.4537
633,11098.3,14588.4,10923.3,63.1364
634,11098.3,14109.7,10923.3,62.8207
635,11098.3,13444.6,10923.3,62.5066
636,11098.3,14599,10923.3,62.1941
637,11118.6,14248.4,10923.3,61.8831
638,11118.6,13111.7,10923.3,61.5737
639,11118.6,14441.2,10923.3,61.2658
640,11118.6,14212.5,10923.3,60.9595
641,11118.6,14078.4,10923.3,60.6547
642,11118.6,13693.4,10923.3,60.3514
643,11124.9,14777.1,10923.3,60.0497
644,11124.9,13480.7,10923.3,59.7494
645,11124.9,13809.6,10923.3,59.4507
646,11203.9,16226,10923.3,59.1534
647,11223.1,14443.6,10923.3,58.8577
648,11223.1,14474,10923.3,58.5634
649,11223.1,13958,10923.3,58.2705
650,10996.2,12780.5,10923.3,57.9792
651,10996.2,15110.4,10923.3,57.6893
652,10996.2,15428.8,10923.3,57.4009
653,10996.2,12716,10923.3,57.1139
654,10996.2,13022.4,10923.3,56.8283
655,10902.3,12992.1,10902.3,56.5441
656,10902.3,15913,10902.3,56.2614
657,10694.9,13651.5,10694.9,55.9801
658,10694.9,15330.6,10694.9,55.7002
659,10694.9,13243.3,10694.9,55.4217
660,10694.9,11803.4,10694.9,55.1446
661,10684.5,11618.1,10684.5,54.8689
662,10684.5,14785.3,10684.5,54.5945
663,10684.5,13044.9,10684.5,54.3216
664,10684.5,12677.6,10684.5,54.05
665,10684.5,14118.8,10684.5,53.7797
666,10684.5,13621.2,10684.5,53.5108
667,10684.5,14146,10684.5,53.2433
668,10684.5,14447.8,10684.5,52.977
669,10684.5,12120.2,10684.5,52.7122
670,10684.5,13649.7,10684.5,52.4486
671,10684.5,13792.9,10684.5,52.1864
672,10684.5,13792.9,10684.5,51.9254
673,10684.5,13682.1,10684.5,51.6658
674,10668.9,13838.3,10668.9,51.4075
675,10668.9,14707.9,10668.9,51.1504
676,10668.9,13077.5,10668.9,50.8947
