generation,best,bestEver
1115,5803.6,4615.43
1116,5647.75,4615.43
1117,5803.6,4615.43
1118,5647.75,4615.43
1119,5803.6,4615.43
1120,5647.75,4615.43
1121,5803.6,4615.43
1122,5647.75,4615.43
1123,5803.6,4615.43
1124,5647.75,4615.43
1125,5803.6,4615.43
1126,5647.75,4615.43
1127,5803.6,4615.43
1128,5647.75,4615.43
1129,5803.6,4615.43
1130,5647.75,4615.43
1131,5803.6,4615.43
1132,5647.75,4615.43
1133,5803.6,4615.43
1134,5647.75,4615.43
1135,5803.6,4615.43
1136,5647.75,4615.43
1137,5803.6,4615.43
1138,5647.75,4615.43
1139,5803.6,4615.43
1140,5647.75,4615.43
1141,5803.6,4615.43
1142,5647.75,4615.43
1143,5803.6,4615.43
1144,5647.75,4615.43
1145,5803.6,4615.43
1146,5647.75,4615.43
1147,5803.6,4615.43
1148,5647.75,4615.43
1149,5803.6,4615.43
1150,5647.75,4615.43
